Destination,Prefix,Rate
Afghanistan - Fixed,93,0.2627
Afghanistan - Mobile - At,9374,0.27501
Afghanistan - Mobile - At,9375,0.27501
Afghanistan - Mobile - Awcc,9370,0.2667
Afghanistan - Mobile - Awcc,9371,0.2667
Afghanistan - Mobile - Etisalat,9378,0.2439
Afghanistan - Mobile - Mtn,9376,0.2895
Afghanistan - Mobile - Mtn,9377,0.2895
Afghanistan - Mobile - Roshan,9372,0.26191
Afghanistan - Mobile - Roshan,9379,0.26191
Albania - Fixed,355,0.2264
Albania - Fixed - Alternative Net,35521150,0.2264
Albania - Fixed - Alternative Net,35521153,0.2264
Albania - Fixed - Alternative Net,35521260,0.2264
Albania - Fixed - Alternative Net,35521262,0.2264
Albania - Fixed - Alternative Net,35521360,0.2264
Albania - Fixed - Alternative Net,35521362,0.2264
Albania - Fixed - Alternative Net,35521460,0.2264
Albania - Fixed - Alternative Net,35521540,0.2264
Albania - Fixed - Alternative Net,35521541,0.2264
Albania - Fixed - Alternative Net,35521542,0.2264
Albania - Fixed - Alternative Net,35521543,0.2264
Albania - Fixed - Alternative Net,35521544,0.2264
Albania - Fixed - Alternative Net,35521545,0.2264
Albania - Fixed - Alternative Net,35521570,0.2264
Albania - Fixed - Alternative Net,35521593,0.2264
Albania - Fixed - Alternative Net,35521660,0.2264
Albania - Fixed - Alternative Net,35521662,0.2264
Albania - Fixed - Alternative Net,35521760,0.2264
Albania - Fixed - Alternative Net,35521762,0.2264
Albania - Fixed - Alternative Net,35521840,0.2264
Albania - Fixed - Alternative Net,35521842,0.2264
Albania - Fixed - Alternative Net,35521844,0.2264
Albania - Fixed - Alternative Net,35521960,0.2264
Albania - Fixed - Alternative Net,35521962,0.2264
Albania - Fixed - Alternative Net,35521964,0.2264
Albania - Fixed - Alternative Net,35522400,0.2264
Albania - Fixed - Alternative Net,3552244,0.2264
Albania - Fixed - Alternative Net,3552260,0.2264
Albania - Fixed - Alternative Net,35522620,0.2264
Albania - Fixed - Alternative Net,35522700,0.2264
Albania - Fixed - Alternative Net,35522701,0.2264
Albania - Fixed - Alternative Net,3552272,0.2264
Albania - Fixed - Alternative Net,3552280,0.2264
Albania - Fixed - Alternative Net,35522900,0.2264
Albania - Fixed - Alternative Net,35524600,0.2264
Albania - Fixed - Alternative Net,35524620,0.2264
Albania - Fixed - Alternative Net,3552614,0.2264
Albania - Fixed - Alternative Net,35526220,0.2264
Albania - Fixed - Alternative Net,35526221,0.2264
Albania - Fixed - Alternative Net,35526290,0.2264
Albania - Fixed - Alternative Net,35526420,0.2264
Albania - Fixed - Alternative Net,35526460,0.2264
Albania - Fixed - Alternative Net,35526560,0.2264
Albania - Fixed - Alternative Net,35526620,0.2264
Albania - Fixed - Alternative Net,35526621,0.2264
Albania - Fixed - Alternative Net,35526622,0.2264
Albania - Fixed - Alternative Net,3552667,0.2264
Albania - Fixed - Alternative Net,35526720,0.2264
Albania - Fixed - Alternative Net,35526780,0.2264
Albania - Fixed - Alternative Net,35526870,0.2264
Albania - Fixed - Alternative Net,35526920,0.2264
Albania - Fixed - Alternative Net,35527160,0.2264
Albania - Fixed - Alternative Net,35528140,0.2264
Albania - Fixed - Alternative Net,35528141,0.2264
Albania - Fixed - Alternative Net,35528170,0.2264
Albania - Fixed - Alternative Net,35528171,0.2264
Albania - Fixed - Alternative Net,35528470,0.2264
Albania - Fixed - Alternative Net,35528472,0.2264
Albania - Fixed - Alternative Net,35528740,0.2264
Albania - Fixed - Alternative Net,35528742,0.2264
Albania - Fixed - Alternative Net,35529220,0.2264
Albania - Fixed - Alternative Net,35529221,0.2264
Albania - Fixed - Alternative Net,35531170,0.2264
Albania - Fixed - Alternative Net,35531172,0.2264
Albania - Fixed - Alternative Net,35531174,0.2264
Albania - Fixed - Alternative Net,35531260,0.2264
Albania - Fixed - Alternative Net,35531360,0.2264
Albania - Fixed - Alternative Net,35532410,0.2264
Albania - Fixed - Alternative Net,35532411,0.2264
Albania - Fixed - Alternative Net,35532412,0.2264
Albania - Fixed - Alternative Net,35532500,0.2264
Albania - Fixed - Alternative Net,35532501,0.2264
Albania - Fixed - Alternative Net,35532502,0.2264
Albania - Fixed - Alternative Net,35532503,0.2264
Albania - Fixed - Alternative Net,35532504,0.2264
Albania - Fixed - Alternative Net,35532505,0.2264
Albania - Fixed - Alternative Net,3553260,0.2264
Albania - Fixed - Alternative Net,3553261,0.2264
Albania - Fixed - Alternative Net,355334,0.2264
Albania - Fixed - Alternative Net,3553360,0.2264
Albania - Fixed - Alternative Net,3553371,0.2264
Albania - Fixed - Alternative Net,35533800,0.2264
Albania - Fixed - Alternative Net,35534410,0.2264
Albania - Fixed - Alternative Net,35534430,0.2264
Albania - Fixed - Alternative Net,355345,0.2264
Albania - Fixed - Alternative Net,3553460,0.2264
Albania - Fixed - Alternative Net,35535410,0.2264
Albania - Fixed - Alternative Net,35535460,0.2264
Albania - Fixed - Alternative Net,35535700,0.2264
Albania - Fixed - Alternative Net,35535701,0.2264
Albania - Fixed - Alternative Net,35535702,0.2264
Albania - Fixed - Alternative Net,35535703,0.2264
Albania - Fixed - Alternative Net,35535704,0.2264
Albania - Fixed - Alternative Net,35535705,0.2264
Albania - Fixed - Alternative Net,35536140,0.2264
Albania - Fixed - Alternative Net,35536141,0.2264
Albania - Fixed - Alternative Net,35536170,0.2264
Albania - Fixed - Alternative Net,3553622,0.2264
Albania - Fixed - Alternative Net,3553632,0.2264
Albania - Fixed - Alternative Net,35536660,0.2264
Albania - Fixed - Alternative Net,35536749,0.2264
Albania - Fixed - Alternative Net,35536789,0.2264
Albania - Fixed - Alternative Net,35536860,0.2264
Albania - Fixed - Alternative Net,35536862,0.2264
